NODELIST=34.64.225.90
MASTER_ADDR=
==> Preparing data..
Files already downloaded and verified
==> Making model..
The number of parameters of model is 24253410
/home/slurm-master/.local/lib/python3.8/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Epoch: [0/196]| loss: 2.317 | acc: 12.891 | batch time: 9.372s 
Epoch: [20/196]| loss: 2.008 | acc: 24.349 | batch time: 1.763s 
Epoch: [40/196]| loss: 1.871 | acc: 29.040 | batch time: 1.864s 
Epoch: [60/196]| loss: 1.784 | acc: 32.588 | batch time: 1.971s 
Epoch: [80/196]| loss: 1.704 | acc: 35.909 | batch time: 1.932s 
Epoch: [100/196]| loss: 1.637 | acc: 38.753 | batch time: 1.945s 
Epoch: [120/196]| loss: 1.573 | acc: 41.413 | batch time: 1.952s 
Epoch: [140/196]| loss: 1.525 | acc: 43.276 | batch time: 1.946s 
Epoch: [160/196]| loss: 1.484 | acc: 44.932 | batch time: 1.953s 
Epoch: [180/196]| loss: 1.439 | acc: 46.661 | batch time: 1.950s 
Training time 0:06:20.739449
